book_id,t_book_id,book_title,category,is_japanese_cast_original,play_cnt,like_cnt,tags,description
67f9757fed8210901d04168f,140000000140000036,もう一度、君に恋をする,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,復讐|二度目のチャンス|お涙ちょうだい|億万長者|インディペンデント・ウーマン|コンテンポラリー|スイート|女性向けのドラマ|Alena Savostikova|Seth Edeen,美咲は、人生の愛である玲司がどん底だった時に彼を捨てた。5年後、彼は億万長者となり、彼女の会社を買収しようとし、彼女の人生を地獄に変えようとしている。彼女は彼に別れた本当の理由を伝えるべきか？それとも、愛の再チャンスはもう遅すぎるのか？
6861f8128c13fda27006234b,140000000140000123,消防士の元夫、悔恨の炎に焼かれて,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,女性向けのドラマ|家族ドラマ|コンテンポラリー|復讐|お涙ちょうだい|済度|インディペンデント・ウーマン,娘の有紗が青少年センターの崩壊事故で命を失った後、奈津美は深い悲しみと復讐の念に駆られ、消防士の夫・慎二を責めます。慎二は元恋人の杏花とその娘・恵理子を救う選択をしたのです。奈津美は、慎二と杏花が有紗の死に関わっていると感じ、怒りと悲しみが交錯します。その中で彼女は、痛みを乗り越えるために子どもたちを支援する財団を立ち上げ、慈善活動に身を投じます。罪悪感に苛まれる慎二は、自分の行動を償おうと決意し
67d3c2cf37369d7c3a0431cf,140000000140000045,無職の夫は大富豪だった件!,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,結婚後の恋愛|身分を隠せ|守る夫|億万長者|コンテンポラリー|女性向けのドラマ|無邪気な乙女|スイート,織田克宏は家族の落ちこぼれ。何もできないダメ男で、最近刑務所から出たばかり。まともな女性なら誰も彼と結婚しない…でも梨香は結婚してくれた。まさか彼は隠された億万長者だったなんて！真実を知った梨香はどうする？そして、なぜ彼は正体を隠していたのだろう？
674ef5067e38e9eddf065d40,140000000140000067,ダイヤモンドの再会,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,二度目のチャンス|ラブコメ|幼馴染みの恋人|インディペンデント・ウーマン|女性向けのドラマ|スイート|コンテンポラリー|日本オリジナル,清水まさみはシングルマザー。8年前、初恋の渡辺修平との間に誤解が生じ、彼に自分が妊娠していることを伝えることなく、そのまま別れてしまった。8年後、修平は野球界で史上最年少MVPに輝き、新チームに移籍することになる。運命の歯車が再び回り始め、野球場で再会した2人は果たして、誤解を解き、心を通わせることができるのか？
681d709d6cfb3b72f804a5c1,140000000140000164,銃と金とクリスマス,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,男向けのドラマ|カムバックストーリー|コンテンポラリー|身分を隠せ|人違い|とぼける|億万長者|婿,世界最強の軍需産業グループのCEO、仲井戸シュウは、貧しいセールスマンだと勘違いされている。予期せぬことに、彼は会社の社長であるアイリと契約結婚をすることになる。シュウはアイリと一緒にクリスマスディナーのために彼女の実家を訪れ、そこで家族から絶え間ない見下しを受け、アイリの求婚者から嘲笑されることになる。シュウは次々と逆転劇を繰り広げ、自らの力と地位を証明し、最終的にはアイリとの真実の愛を見つける
6757b32068dd472cc80d0a72,140000000140000041,財閥令嬢様の二重生活,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,離婚後の愛|身分を隠せ|億万長者|相続人/社会人,結婚3年、CEO藤堂賢は妻の彩を金目当ての浮気女だと信じていた。非難に耐えかねた彩は離婚し、本来の姿――億万長者の令嬢としての人生を歩み始める。自分の過ちに気づいた賢はどう動く？彩は復讐するのか、それとも再び心を許すのか？
67ff585f980e35367f012b4d,140000000140000106,ケーキ職人のワタシが大富豪と偽装結婚した話,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,契約の恋人|スピード婚|ラブコメ|シングルファーザー|無邪気な乙女|女性向けのドラマ|スイート|コンテンポラリー,控えめで優しいパティシエ・結衣は、娘の親権を守るために偽装結婚を求めるシングルファザーの大富豪・淳一と電撃婚。形だけのはずが、いつしか本物の愛に――。しかし、嫉妬に燃えるライバル、ストーカー化した結衣の元婚約者、そしてあの手この手で壊そうとする淳一の元妻が立ちはだかる！
68196eb59ac7827c1e05b4d5,140000000140000070,禁断の誘い～彼のものに～,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,タブー|年齢差|億万長者|インディペンデント・ウーマン,栗山ルカは、これまでずっと完璧な彼女、完璧な娘として正しい道を歩んできた。しかし、石山翔と出会ったことで、すべてが変わる。家族からの虐待と婚約者の裏切りに耐え続けてきたルカは、ついに限界を迎え、決意を固める。自分を傷つけた者たちに復讐するため、ルカは思い切った一歩を踏み出す。婚約者の叔父であり、石山家の後継者でもある翔を誘惑するのだ…
674e672a9407a14398045b47,140000000140000048,Yesから始まるラブストーリー,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,結婚後の恋愛|スピード婚|身分を隠せ|億万長者|相続人/社会人|女性向けのドラマ|スイート|Britney Rae Carrera|Alexander Trumble,婚約者と妹に裏切られた望月夏芽は、蓮目翔吾と結婚したが、彼の正体を知らなかった。実は彼は億万長者だったのだ。二人は協力して夏芽の悪い家族たちに立ち向かった。果たして、会社を取り戻し、ハッピーエンドを迎えることができるのだろうか。
681d702e1cb621f42c069d75,140000000140000141,負け犬の私がバージンを捨てる！,★日本人キャスト日本オリジナル★,★日本人キャスト★,0,0,女性向けのドラマ|ヤングアダルト|キャンパス|友達から恋人へ|ハートフェルト|フィール・グッド|学園ハンサム|モブキャラ,高校生の関根遥の平凡な日常は、父でありバスケットボール監督の関根健司がスカウトした片桐勇人が家に引っ越してきたことで一変する。最初はぎこちなく、衝突もあった二人だが、遥は次第に勇人を頼るようになり、次第に秘密の関係が芽生える。そんな中、学校でいじめがエスカレートし、遥は勇気を持って仲間のために立ち上がる。その行動は学校中の尊敬を集め、ついには関根監督も二人の関係を認めるようになる。
